Query;Execution Time (ms);Common count
506;96.77410125732422;12600
507;99.58720207214355;12600
508;123.19803237915039;12600
509;84.8548412322998;12600
510;33.82515907287598;12600
511;105.61990737915039;12600
512;85.48235893249512;12600
513;91.59708023071289;12600
514;81.57968521118164;12600
515;99.06268119812012;12600
516;97.23782539367676;12600
517;30.591249465942383;12600
518;90.86799621582031;12600
519;87.35418319702148;12600
520;99.79891777038574;12600
521;97.52869606018066;12600
522;93.66178512573242;12600
523;105.9257984161377;12600
524;30.13920783996582;12600
525;86.65585517883301;12600
526;88.39201927185059;12600
527;98.15287590026855;12600
528;28.848886489868164;12600
529;89.0040397644043;12600
530;92.15998649597168;12600
531;79.6210765838623;12600
532;27.22024917602539;12600
533;133.9280605316162;12600
534;60.05287170410156;12600
535;105.25202751159668;12600
536;76.20596885681152;12600
537;25.751829147338867;12600
538;180.06396293640137;12600
539;92.59605407714844;12600
540;30.480146408081055;12600
541;103.73592376708984;12600
542;91.76182746887207;12600
543;97.08595275878906;12600
544;142.5168514251709;12600
545;57.12723731994629;12600
546;77.00228691101074;12600
547;31.46076202392578;12600
548;104.34985160827637;12600
549;80.9929370880127;12600
550;187.0429515838623;12600
551;113.63792419433594;12600
552;100.2957820892334;12600
553;106.28080368041992;12600
554;89.99204635620117;12600
555;159.67679023742676;12600
556;198.19116592407227;12600
557;69.81921195983887;12600
558;68.69196891784668;12600
559;189.31007385253906;12600
560;105.78298568725586;12600
561;92.89121627807617;12600
562;106.98294639587402;12600
563;91.40682220458984;12600
564;106.70685768127441;12600
565;97.86701202392578;12600
566;41.255950927734375;12600
567;86.60888671875;12600
568;97.63789176940918;12600
569;95.29399871826172;12600
570;89.45631980895996;12600
571;107.23710060119629;12600
572;91.12668037414551;12600
573;99.99990463256836;12600
574;88.31787109375;12600
575;23.568153381347656;12600
576;136.854887008667;12600
577;52.06608772277832;12600
578;86.70425415039062;12600
579;99.05624389648438;12600
580;101.3798713684082;12600
581;32.202959060668945;12600
582;92.59486198425293;12600
583;99.04170036315918;12600
584;89.97702598571777;12600
585;93.84989738464355;12600
586;98.28305244445801;12600
587;20.35975456237793;12600
588;123.65317344665527;12600
589;76.64012908935547;12600
590;93.89686584472656;12600
591;94.65217590332031;12600
592;86.98415756225586;12600
593;34.497976303100586;12600
594;89.07008171081543;12600
595;89.75625038146973;12600
596;81.23373985290527;12600
597;31.957149505615234;12600
598;93.1851863861084;12600
599;89.26796913146973;12600
600;90.76619148254395;12600
601;98.5419750213623;12600
602;30.505895614624023;12600
603;95.28112411499023;12600
604;75.9119987487793;12600
605;95.93486785888672;12600
606;33.09297561645508;12600
607;95.31998634338379;12600
608;89.99109268188477;12600
609;86.5488052368164;12600
610;94.73395347595215;12600
611;99.29490089416504;12600
612;37.455081939697266;12600
613;145.04694938659668;12600
614;80.68108558654785;12600
615;68.67408752441406;12600
616;77.54683494567871;12600
617;93.82104873657227;12600
618;42.50979423522949;12600
619;75.95515251159668;12600
620;107.46407508850098;12600
621;98.56200218200684;12600
622;172.26290702819824;12600
623;111.44876480102539;12600
624;98.78993034362793;12600
625;95.40820121765137;12600
626;103.8668155670166;12600
627;96.83084487915039;12600
628;95.49689292907715;12600
629;100.19612312316895;12600
630;99.48110580444336;12600
631;32.54508972167969;12600
632;109.2839241027832;12600
633;82.92198181152344;12600
634;112.56909370422363;12600
635;141.9541835784912;12600
636;121.69909477233887;12600
637;100.73304176330566;12600
638;41.79096221923828;12600
639;92.0867919921875;12600
640;83.40930938720703;12600
641;99.05195236206055;12600
642;128.75795364379883;12600
643;87.23998069763184;12600
644;93.31417083740234;12600
645;97.18084335327148;12600
646;82.62228965759277;12600
647;22.35102653503418;12600
648;95.42417526245117;12600
649;95.58701515197754;12600
650;100.25906562805176;12600
651;91.07208251953125;12600
652;93.61529350280762;12600
653;31.077861785888672;12600
654;92.71788597106934;12600
655;88.64212036132812;12600
656;91.58205986022949;12600
657;113.38496208190918;12600
658;93.82414817810059;12600
659;91.094970703125;12600
660;90.24500846862793;12600
661;25.77996253967285;12600
662;94.09308433532715;12600
663;90.91711044311523;12600
664;92.06461906433105;12600
665;27.08888053894043;12600
666;92.79704093933105;12600
667;113.45720291137695;12600
668;110.21018028259277;12600
669;89.96725082397461;12600
670;89.07699584960938;12600
671;88.6390209197998;12600
672;86.14993095397949;12600
673;102.45394706726074;12600
674;95.69215774536133;12600
675;36.22794151306152;12600
676;94.85387802124023;12600
677;170.53914070129395;12600
678;99.05886650085449;12600
679;30.958175659179688;12600
680;93.22500228881836;12600
681;87.5389575958252;12600
682;99.77293014526367;12600
683;91.30597114562988;12600
684;34.33704376220703;12600
685;78.1850814819336;12600
686;94.73204612731934;12600
687;100.58712959289551;12600
688;95.12686729431152;12600
689;97.63693809509277;12600
690;159.5480442047119;12600
691;140.50984382629395;12600
692;45.87078094482422;12600
693;77.72493362426758;12600
694;103.61695289611816;12600
695;90.1041030883789;12600
696;92.68999099731445;12600
697;101.409912109375;12600
698;97.70822525024414;12600
699;93.60194206237793;12600
700;135.8020305633545;12600
701;90.53421020507812;12600
702;72.00288772583008;12600
703;93.90902519226074;12600
704;34.64078903198242;12600
705;84.78212356567383;12600
706;91.89176559448242;12600
707;22.37868309020996;12600
708;90.65008163452148;12600
709;80.57975769042969;12600
710;26.95608139038086;12600
711;86.45510673522949;12600
712;86.38215065002441;12600
713;103.5761833190918;12600
714;100.0833511352539;12600
715;57.041168212890625;12600
716;66.97392463684082;12600
717;84.80072021484375;12600
718;86.29679679870605;12600
719;96.88878059387207;12600
720;26.248931884765625;12600
721;98.62709045410156;12600
722;92.53787994384766;12600
723;92.48995780944824;12600
724;95.97182273864746;12600
725;35.73775291442871;12600
726;100.63576698303223;12600
727;94.28620338439941;12600
728;82.69071578979492;12600
729;103.42979431152344;12600
730;104.01391983032227;12600
731;86.38906478881836;12600
732;87.78667449951172;12600
733;39.659976959228516;12600
734;91.24994277954102;12600
735;135.5147361755371;12600
736;132.9500675201416;12600
737;101.39584541320801;12600
738;55.55295944213867;12600
739;61.434030532836914;12600
740;94.45405006408691;12600
741;99.41768646240234;12600
742;88.32311630249023;12600
743;26.959896087646484;12600
744;93.9788818359375;12600
745;87.26978302001953;12600
746;93.57190132141113;12600
747;97.34010696411133;12600
748;37.90998458862305;12600
749;86.01999282836914;12600
750;107.84196853637695;12600
751;108.85310173034668;12600
752;84.39922332763672;12600
753;92.50092506408691;12600
754;92.11421012878418;12600
755;100.08716583251953;12600
756;94.54107284545898;12600
757;111.07826232910156;12600
758;103.1808853149414;12600
759;136.90996170043945;12600
760;108.51788520812988;12600
761;136.1849308013916;12600
762;26.05414390563965;12600
763;97.50890731811523;12600
764;88.65880966186523;12600
765;92.1468734741211;12600
766;24.643898010253906;12600
767;91.49599075317383;12600
768;90.89422225952148;12600
769;93.2469367980957;12600
770;104.35891151428223;12600
771;118.62301826477051;12600
772;74.51009750366211;12600
773;98.11091423034668;12600
774;30.58624267578125;12600
775;88.34528923034668;12600
776;87.78691291809082;12600
777;106.95719718933105;12600
778;110.65435409545898;12600
779;100.77404975891113;12600
780;88.82784843444824;12600
781;112.47587203979492;12600
782;129.23526763916016;12600
783;88.55390548706055;12600
784;57.42073059082031;12600
785;23.85878562927246;12600
786;103.27792167663574;12600
787;86.08889579772949;12600
788;96.96292877197266;12600
789;42.932987213134766;12600
790;65.95110893249512;12600
791;140.78593254089355;12600
792;71.36988639831543;12600
793;65.65618515014648;12600
794;26.691198348999023;12600
795;93.50895881652832;12600
796;101.19414329528809;12600
797;100.45289993286133;12600
